0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:28:28 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:29:21 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:29:21 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:31:14 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:31:14 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:32:28 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3003
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:32:28 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:33:11 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:33:11 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:37:55 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:37:55 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:39:09 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:39:09 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:40:02 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3008
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:40:02 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:40:51 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:40:51 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:41:11 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:41:11 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:41:52 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:41:52 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:42:38 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:42:38 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 84
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:10 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:10 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:50 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:50 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:54 +0530] "GET /OnlinFoodBOX/index.jsp? HTTP/1.1" 200 3039
0:0:0:0:0:0:0:1 - - [14/Dec/2022:15:43:54 +0530] "GET /OnlinFoodBOX/all_Component/style.css HTTP/1.1" 304 -
